a,b,edge,dist,err
4,5,4-5,0.6283576390864543,0.01152751386484652
4,7,4-7,15.294274631692499,960.5803526872435
4,8,4-8,9.216037846592611,111.21300563177255
4,9,4-9,12.42135764827217,30.219369790794993
5,7,5-7,9.658125925960695,111.70115998696606
5,8,5-8,8.9454036359799,38.64009229887235
5,9,5-9,12.189944787957991,759.597751754723
7,8,7-8,7.7828586741024655,33.2877534449857
7,9,7-9,22.847983724238894,458.4777404134165
8,9,8-9,9.491263819052403,12.846543679005304
